學年度,設立別 ,學校類別,學校代碼,學校名稱,"日間/
進修",學制,"新生
註冊率","系所招生
特色說明",,
105,公立,一般大學,31,國立宜蘭大學,日,學士班,95.71,＊連續8年榮獲教育部獎勵大學「教學卓越計畫」肯定。 ＊2015年本校與美國普渡大學、喬治亞理工學院與密西根大學三所全美工程類排名前10名內等共計15所一流歐美名校，共同榮獲李奧娜與哈利荷姆斯莉慈善信託基金經費500萬美元，聯手推展VIP計畫。 ＊2013-2015年工程類論文被引次數進入ESI世界排名前1%，並有多篇論文榮登高度被引用的TOP 1%文章。 ＊遠見雜誌2016最佳大學排行調查，宜蘭大學為國立大學前20名。 ＊1111人力銀行調查，企業雇主高度肯定國立宜蘭大學畢業生專業技能、工作態度與職場倫理、團隊合作與邏輯思考能力。 ＊系所評鑑及校務評鑑全數通過。,,
105,公立,一般大學,31,國立宜蘭大學,日,碩士班,86.97,＊連續8年榮獲教育部獎勵大學「教學卓越計畫」肯定。 ＊2015年本校與美國普渡大學、喬治亞理工學院與密西根大學三所全美工程類排名前10名內等共計15所一流歐美名校，共同榮獲李奧娜與哈利荷姆斯莉慈善信託基金經費500萬美元，聯手推展VIP計畫。 ＊2013-2015年工程類論文被引次數進入ESI世界排名前1%，並有多篇論文榮登高度被引用的TOP 1%文章。 ＊遠見雜誌2016最佳大學排行調查，宜蘭大學為國立大學前20名。 ＊1111人力銀行調查，企業雇主高度肯定國立宜蘭大學畢業生專業技能、工作態度與職場倫理、團隊合作與邏輯思考能力。 ＊系所評鑑及校務評鑑全數通過。,,
105,公立,一般大學,31,國立宜蘭大學,日,博士班,100,生物技術與動物科學為本校唯一的博士班，是本校規模最大、資源最多的科系；本系擁有專任師資20名，教學與研究設備極佳，並設有實驗動物中心、教學研究牧場、生技保健產品試量產工廠，提供豐富且多元的教學與研究環境。期能培育生物技術與動物科學領域頂尖研究人才與生技動物產業之高階領導人才，結合研究與產業，以知識創造經濟，提升國家發展之競爭力。本系研究特色分為三大領域，動物科學：結合營養生技、遺傳工程技術、免疫等新知，促進動物科技產業的升級及永續經營。生物技術：包括胚胎移殖、幹細胞培養、基因轉殖與重組蛋白的製造、基因疫苗開發、單源抗體製備等。保健產品：動物性保健產品活性成分之分離純化、單源抗體製造及基因選殖，體外細胞活性偵測和動物體內的療效試驗。,,
105,公立,一般大學,31,國立宜蘭大學,職,碩士班,96.23,＊連續8年榮獲教育部獎勵大學「教學卓越計畫」肯定。 ＊2015年本校與美國普渡大學、喬治亞理工學院與密西根大學三所全美工程類排名前10名內等共計15所一流歐美名校，共同榮獲李奧娜與哈利荷姆斯莉慈善信託基金經費500萬美元，聯手推展VIP計畫。 ＊2013-2015年工程類論文被引次數進入ESI世界排名前1%，並有多篇論文榮登高度被引用的TOP 1%文章。 ＊遠見雜誌2016最佳大學排行調查，宜蘭大學為國立大學前20名。 ＊1111人力銀行調查，企業雇主高度肯定國立宜蘭大學畢業生專業技能、工作態度與職場倫理、團隊合作與邏輯思考能力。 ＊系所評鑑及校務評鑑全數通過。,,
105,公立,一般大學,31,國立宜蘭大學,進,學士班,81.82,＊連續8年榮獲教育部獎勵大學「教學卓越計畫」肯定。 ＊2015年本校與美國普渡大學、喬治亞理工學院與密西根大學三所全美工程類排名前10名內等共計15所一流歐美名校，共同榮獲李奧娜與哈利荷姆斯莉慈善信託基金經費500萬美元，聯手推展VIP計畫。 ＊2013-2015年工程類論文被引次數進入ESI世界排名前1%，並有多篇論文榮登高度被引用的TOP 1%文章。 ＊遠見雜誌2016最佳大學排行調查，宜蘭大學為國立大學前20名。 ＊1111人力銀行調查，企業雇主高度肯定國立宜蘭大學畢業生專業技能、工作態度與職場倫理、團隊合作與邏輯思考能力。 ＊系所評鑑及校務評鑑全數通過。,,
105,公立,一般大學,32,國立聯合大學,日,學士班,94.24,學校未提供說明,,
105,公立,一般大學,32,國立聯合大學,日,碩士班,76.65,學校未提供說明,,
105,公立,一般大學,32,國立聯合大學,日,博士班,100,學校未提供說明,,
105,公立,一般大學,32,國立聯合大學,進,學士班,83.06,學校未提供說明,,
105,公立,一般大學,35,國立臺南藝術大學,日,學士班,98,(1)七年一貫制學士班招生特色：本校配合藝術教育法的頒布，1997年成立了國內第一所七年一貫制音樂系，隔年再成立七年一貫制中國音樂學系，招收國中畢業生具傑出演奏中西樂器的年輕學子，培養具精湛演贈技巧與豐富人文素養的專業音樂家。 (2)四年制學士班招生特色：材質創作與設計系成立於2006年，是一所學習藝術、工藝與設計的創作科系，顧名思義以材質為根本，透過物材質主客觀的結合，具備基本的運用能力，以培養並發展出具獨特性的創作表現。應用音樂學系成立於2002年，為少數以「應用」為名之音樂科系，培養符合世界趨勢之人才，運用音樂藝術結合數位科技的轉化，帶動學術與市場同步脈動。藝術史學系成立於2003年，係以藝術史學為專業主體，並兼重文物修復與博物館學之基礎訓練，以培養兼具藝術史學、文物保存維護以及博物館蒐藏管理與展示能力之基礎人才為目標。,,
105,公立,一般大學,35,國立臺南藝術大學,日,碩士班,88.08,本校創校之初，即以培養高等專業藝術人才為目標，並以設立研究所招收研究生為主。教學領域完整，共有四個學院，11個日間學制碩士班。在專業師資及藝術環境薰陶下，在藝術創作及研究的領域中，已培養許多傑出的藝術專業人才。本校致力於推展人文藝術與科技整合的可能性，與國內數位科技產業進行異業結盟，積極展現本校各藝術專業之創作實力，更不斷透過創作與研究之專業，協助地方進行文化復建與凝聚在地人文意識，並透過各種藝術交流活動與國際接軌，將國內藝術專業人才推上國際舞臺，展現臺灣藝術實力。 各學院碩士班特色簡述如下：音樂學院以演奏和研究為主，課程涵蓋傳統與世界多元音樂型態，兼顧演奏、理論與研究；視覺藝術學院各系所依創作題材而明顯區分，各有其發展重點；音像藝術學院為我國首創，音像藝術包含電影、電視與多媒體藝術；文博學院以整合文博理論與實務為發展方向。,,
105,公立,一般大學,35,國立臺南藝術大學,日,博士班,100,為使國內藝術專業領域人才能有一進階修讀藝術創作領域博士學位的管道，本校特於2003年成立全國第一個藝術創作理論研究所博士班。 博士班著重當代視覺文化之研究，同時整合藝術創作實作的經驗與理論，進而培育出國際觀的藝術專業人才，以建構藝術創作與理論學術為基礎訓練，分藝術創作、藝術理論與評論、當代社會文化思潮、藝術史學等研究方向，學生除須擇專題領域研究外，並須以藝術創作為基礎，進行跨領域研究。 博士班是以培養創作與理論兼備之藝術類專業人才為目標，也是臺灣藝術高等教育中第一個成立兼顧理論學習與實務訓練的研究所，所開設之課程則涵蓋完整的藝術創作與理論之個別指導與合班研討，使博士生能有系統地發展個人研究方向與主題，逐步建構具體的研究成果。,,
105,公立,一般大學,35,國立臺南藝術大學,職,碩士班,70,本校為服務社會，提昇中小學音樂教師、各類樂團演奏者與愛好民族音樂學學習者的專業素質，培育民族音樂學高級專業人才，提供終身學習環境，特針對在職人士提供結合理論與實務之民族音樂學專業課程，辦理碩士在職專班。 民族音樂學研究所在職專班於2003年成立，分別有音樂學組與演奏理論組二個組別。音樂學組以民族音樂學理論與運用、音樂文化資產保護、音樂民族誌影片為主要內容；演奏理論組以探討中西音樂演奏或演唱詮釋、音樂表演藝術美學、音樂文化審美、樂器教學方法等音樂表演相關理論為主軸。 現今，西樂或國樂的美學觀已呈多元，本校碩士在職專班藉由民族音樂學理論，以文化的角度來審視本民族以及世界各民族，包括過去的、現在的音樂，其中尤以宗教音樂、臺灣原住民音樂、臺灣傳統音樂、國樂發展史等研究領域為主軸，使其能有更豐富、更宏觀的音樂能力回到其工作崗位或面臨新的社會環境，落實在職專班實務應用之能力。,,
105,公立,一般大學,36,國立臺南大學,日,學士班,95.25,本校自西元1899年創校至今，度過漫長悠久的117年，彙集臺灣人文與傳統之精髓，不斷與時俱進、創新多元，是一所鼓勵研究之教學型大學，為配合社會發展趨勢及在地化產業人才需求，逐漸擴大規模。除建校傳統之教育學院外，陸續成立人文與社會學院、藝術學院、理工學院、環境與生態學院，並於2016年成立管理學院，共6大學院21個學系。課程設計除核心課程外，積極辦理產學合作，培育其實務專業，同時為豐富課程內容，另設有五大領域之通識課程及大師講堂，並設有國際交換生制度，鼓勵學生拓展國際視野。此外本校設置師資培育中心，培育學前教育、國民小學、特殊教育師資，並開設中等教育學程「綜合活動學習領域」、「藝術與人文學習領域(音樂、美術、表演)」、輔導加註及英語加註等師資職前課程。本校學術研發質量俱增，在校生於各領域發展十分良好，近年來常獲得國際性競賽的肯定，通過科技部大專生參與專題研究計畫補助，並通過研究創作獎勵等。,,
105,公立,一般大學,36,國立臺南大學,日,碩士班,80.55,本校學士班有21個學系，為培養優秀的研究人才，另設有29個碩士班，涵跨教育、人文、藝術、理工、環境生態、管理等六大專業領域，課程規劃上除各系所傳統核心課程外，力求課程設計實務多元，重視各課程之間的連貫性及理論實務的兼籌並顧，使具有完整連貫之專業學能，並培養能自我學習、獨立研究開創能力，以應變高度發展、劇烈變化之社會。近年來為配合社會趨勢與產業的需求，碩士班逐步整併，並整合課程內容以符合學生未來就業或繼續深造之需求。例如106學年度通過「臺灣文化研究所」與「文化與自然資源學系」整併更名，結合二系所專業師資，加強本校與臺南的有機互動，落實「在地深化」的目標，接軌地方發展，推動區域創新，整合學用。,,
105,公立,一般大學,36,國立臺南大學,日,博士班,100,本校設有6個博士班，分別為「教育學系課程與教學博士班」、「教育學系教育經營與管理博士班」、「教育學系測驗統計博士班」、「特殊教育學系博士班」、「數位學習科技學系博士班」、「電機工程學系博士班」。各系所博士班成立目標皆在有系統的培養各領域研究人員與實務人才，課程規劃除穩固根基的系統化理論課程外，並開設有實務課程，與產業界進行產學合作，另建立國內外學術研究合作社群，透過國際性學術交流，增進國際視野與研究動能，使其具備研究與實務的進階專業素養，以培育能批判反思並可自行研發之全方位高階實務專業人才。,,
105,公立,一般大學,36,國立臺南大學,職,碩士班,91.35,本校由師範學院改制綜合大學已逾12年，各進修碩士班制已從過往「教學碩士班」逐漸轉型為「碩士在職專班」，並開設教育、人文、藝術、理工、環境與生態、管理等六大領域之碩士進修班別，以滿足社會大眾對碩士在職進修的需求。課程設計上以實務導向為主，開發研究為輔，強化各課程與產業界的實務連結及整體趨勢的連貫性，並配合社會企業之真正需求，使其具備能自我批判思考、勇於挑戰創新之能力。105學年度起增設「行政管理碩士在職專班」、「環境教育碩士在職學位學程」，除增加相關專業人士之進修管道，強化終身學習機制，並有效符應社會的潮流與趨勢，國家永續發展的政策。,,
105,公立,一般大學,36,國立臺南大學,進,學士班,36.11,本校進修學士班目前計有音樂學系1個班，該學系在教學資源與設備方面相當齊全與豐富，能充分提供教學所需；設置鍵盤教室、合奏教室、專業音樂教室等，數位音樂中心有完整之電腦音樂工作平台，可擔任教學、多媒體音樂製作等用途。合奏教室可容納120人之大型樂團練習，並有平台鋼琴兩部、完整之打擊樂器及舞台投射燈。除了提供平日樂團練習外，亦可擔任專題演講及小型室內音樂會之使用。,,
105,公立,一般大學,37,國立臺北教育大學,日,學士班,97.53,學校未提供說明,,
105,公立,一般大學,37,國立臺北教育大學,日,碩士班,93.88,學校未提供說明,,
105,公立,一般大學,37,國立臺北教育大學,日,博士班,100,學校未提供說明,,
105,公立,一般大學,37,國立臺北教育大學,職,碩士班,93.06,學校未提供說明,,
105,公立,一般大學,38,國立新竹教育大學,日,學士班,97.83,學校未提供說明,,
105,公立,一般大學,38,國立新竹教育大學,日,碩士班,98.11,學校未提供說明,,
105,公立,一般大學,38,國立新竹教育大學,日,博士班,100,學校未提供說明,,
105,公立,一般大學,38,國立新竹教育大學,職,碩士班,92.7,學校未提供說明,,
105,公立,一般大學,39,國立臺中教育大學,日,學士班,93.99,學校未提供說明,,
105,公立,一般大學,39,國立臺中教育大學,日,碩士班,93.07,學校未提供說明,,
105,公立,一般大學,39,國立臺中教育大學,日,博士班,100,學校未提供說明,,
105,公立,一般大學,39,國立臺中教育大學,職,碩士班,94.87,學校未提供說明,,
105,公立,一般大學,44,國立體育大學,日,學士班,96,學校未提供說明,,
105,公立,一般大學,44,國立體育大學,日,碩士班,97.04,學校未提供說明,,
105,公立,一般大學,44,國立體育大學,日,博士班,100,學校未提供說明,,
105,公立,一般大學,44,國立體育大學,職,碩士班,98.77,學校未提供說明,,
105,公立,一般大學,44,國立體育大學,職,二年制,92,學校未提供說明,,
105,公立,一般大學,48,國立金門大學,日,學士班,92.8,學校未提供說明,,
105,公立,一般大學,48,國立金門大學,日,碩士班,88,學校未提供說明,,
105,公立,一般大學,48,國立金門大學,職,碩士班,73.53,學校未提供說明,,
105,公立,一般大學,48,國立金門大學,進,學士班,100,學校未提供說明,,
105,公立,一般大學,49,國立臺灣體育運動大學,日,學士班,97.78,學校未提供說明,,
105,公立,一般大學,49,國立臺灣體育運動大學,日,碩士班,98.96,學校未提供說明,,
105,公立,一般大學,49,國立臺灣體育運動大學,職,碩士班,90.7,學校未提供說明,,
105,公立,一般大學,49,國立臺灣體育運動大學,進,學士班,100,學校未提供說明,,
105,公立,一般大學,52,國立屏東大學,日,學士班,93.91,本校設有教育學院、管理學院、資訊學院、人文社會學院、理學院5個學院，共29個學系及1個學士學位學程，招生管道包含大學繁星推薦入學、大學個人申請入學、大學考試分發入學、四技甄選入學、四技登記分發入學、四技技優入學、四技繁星推薦入學、運動績優甄審入學、運動績優單獨招生、原住民專班、產學合作攜手專班等多元入學管道，亦包含高教大學多元入學、公費生培育及技職四技入學，是一所具有高教、技職、師培多元合流特色的優質大學，所以，在選課方面更讓學生有不同領域，更多的機會進行跨領域的修課選讀；在國際化方面，提供了多國交換學習機會，每年提供補助赴美國、日本、韓國、澳州、捷克等姊妹校交換學習，亦可參加國外大學合作推動雙聯學位課程。 本校除具有培育國小、特教、幼教師資及商業管理人才的優良傳統，透過「大學、政府、各級學校、產業」鏈結模式，積極推動跨界與跨領域合作，培育全方位創發專業人才，提升創業能量，縮短學用落差。,,
105,公立,一般大學,52,國立屏東大學,日,碩士班,74.46,"本校承繼高教、技職與師培三大體系，以多元合流為特色，並定位為「教學與科研融合型大學」。教學及研究能量涵蓋各項專業領域，被外界公認為南臺灣培育商管資訊人文專才及國民教育教師主管人員的搖籃，孕育出許多傑出校友，分別在不同的領域展現卓越的專業成就，備受社會各界肯定。 國立屏東大學成立時間雖短，卻因同時具備師資培育的優良傳統、人文藝術理學的深厚基礎、數位科技的創新技能，以及豐富的產學、實習與推廣教育經驗，而蘊藏蓬勃發展的潛在能量。本校仍秉持UGSI（University,Government,School,Industry）之精神，以既有的領域知識，促進大學、政府、中小學及產業之多元聯繫，結合產官學研與地方資源，以學術帶動專業，以實作厚實產學，讓本校成為推動在地社經發展的源流、南臺灣的學術重鎮，甚至是國際矚目的焦點。",,
105,公立,一般大學,52,國立屏東大學,日,博士班,100,本所發展特色主要在於致力融合教育行政、教育政策、教育財經、組織經營與管理之理論與實務，並擴大教育政策與教育財經之研究範疇以及彰顯學校經營管理之在地化應用，同時運用多元化選課機制，以專業導向與需求取向強化學習成長之動能。 基於發展重點與特色，本所博、碩士班之課程規劃，除了於基礎課程中強調研究方法與基礎學科外，在專業課程中亦實質劃分為「教育政策與領導」與「教育財經與組織管理」二大群組，俾使本所核心特色能落實於課程教學層面、實務應用層面以及學術研究層面，進而藉由專業知能、實務技能、管理職能、價值機能、規範功能以及系統潛能等構面之蓄積轉化，衍生成長利基與發展綜效。,,
105,公立,一般大學,52,國立屏東大學,職,碩士班,86.32,本校為服務社會，提升國內在職人員素質、培養專業人才，提供終身學習環境與機會，針對在職人員提供結合實務與理論之碩士學位學程。本校辦理小學教育、幼兒教育、特殊教育、社區諮商、體育、生態休閒教育、中文、社會、視覺藝術、多媒體、國際貿易、數位行銷等十五系所班碩士在職專班予以在職人員豐富的職業生活。本校承繼高教、技職與師培三大體系，以多元合流為特色，並定位為「教學與科研融合型大學」。教學及研究能量涵蓋各項專業領域，被外界公認為南臺灣培育商管資訊人文專業人才以及國民教育教師主管人員的搖籃，畢業學生分別在不同的領域展現卓越的專業成就，備受社會各界肯定。因此，國立屏東大學碩士在職專班是提供高屏地區在職人士，選擇增加第二專長以及在職進修的優質大學。,,
105,公立,一般大學,52,國立屏東大學,進,學士班,97.67,本校進修學士班招收四個學系，包括：管理學院企業管理學系、國際貿易學系、財務金融學系以及資訊學院資訊管理學系等共四個學系；招生共分成兩階段：第一階段，利用四技二專統一入學測驗成績以及大學學科能力測驗成績，並備妥有利審查資料進行申請入學招生，第二階段，為準備有利審查資料進行甄試入學招生。本校是一所具有高教、技職、師培多元合流特色的優質大學，所以，在選課方面更讓學生有不同領域，更多的機會進行跨領域的修課選讀，四系並積極推動跨界與跨領域合作，培育全方位創發專業人才，提升創業能量，縮短學用落差。因此，國立屏東大學進修學士班是提供高屏地區在職人士，選擇增加第二專長以及在職進修的優質大學。,,
105,公立,一般大學,3002,臺北市立大學,日,學士班,98.27,本校學士班共有教育學院、人文藝術學院、理學院、體育學院及市政管理學院5大學院，分成大學繁星、個人申請、考試入學、運動（含運動績優生）獨招等招生管道。104學年度新增之市政管理學院下設立3個學士班，包括城市發展學系、衛生福利學系及都會產業經營與行銷學系，成為臺北市立大學第五個學院，亦是全國第一個市政管理學院。因本校隸屬臺北市政府且地處臺灣政經核心，該院計畫成為無邊界大學之核心學院，跨域聯結中央及地方政府，規劃以成為各級政府城鄉發展之智庫為目標。,,
105,公立,一般大學,3002,臺北市立大學,日,碩士班,85.18,本校碩士班共有教育學院、人文藝術學院、理學院及體育學院4大學院28個系組。教育學院以培養學生具備教育愛、文化情、全球觀與專業能力的教育人為願景，為本校發展成為師資培育典範大學之重要基石。人文藝術學院以社會發展趨勢、學術研究重心為依歸，俾使與國際社會接軌，進而成為國際上人文、社會與藝術學領域專業人才培育之重鎮。理學院以培養具物理、化學、生命科學、地球科學、數學、體育、資訊科學、科學教育、環境教育及環境資源調查等專業的研究人才為目標。體育學院以培育菁英運動員、舞蹈藝術人才、各級學校體育教師、運動教練、運動科學研究人員、運動領導人才及優秀社會體育工作人員為重點。,,
105,公立,一般大學,3002,臺北市立大學,日,博士班,97.06,本校博士班涵蓋教育、人文藝術及體育三大專長領域，各有其培育方針與目的，具有培育相關領域人才之專業性與重要性。其特色如下：1.具有唯一性與特色。2 重要特殊人才培育。3.符合世界發展趨勢。4.招生名額契合教學。5.招生與註冊率高。,,
105,公立,一般大學,3002,臺北市立大學,職,碩士班,86.57,本校碩士在職專班涵括教育學院、人文藝術學院、理學院及體育學院4大學院，碩士在職專班17班與教學碩士學位班4班。教學碩士學位班專門提供國小以下教師在職進修，其他在職專班提供一般現職人員在職進修，提供在職人士於工作之際精進職場知能，並增加第二、第三專長，成為跨領域之人才。,,
105,公立,技專校院,22,國立臺灣科技大學,日,四技,99.34,本校成立於民國63年，前身為「國立臺灣工業技術學院」，民國68年成立碩士班，民國71年成立博士班。目前四技對外招生之系組包含機械工程系、材料科學與工程系、營建工程系、化學工程系、電子工程系、電機工程系、資訊工程系、工業管理系、企業管理系、資訊管理系、工商業設計系工業設計組、工商業設計系商業設計組、建築系及應用外語系等。本校師生近年來在國際上各項排名，均有傑出表現，舉凡英國QS高等教育機構世界最佳大學、英國泰晤士報全球最佳大學、德國iF及紅點設計獎、英國TIMES世界大學領域排名(社會科學領域)、英國QS全球學科前兩百大最佳排行等。另外，迄今各系所畢業校友已達6萬餘位，畢業出路包含出國繼續深造、國內深造以及投身於產業界。由於實作經驗豐富，理論基礎完備，工作態度認真，畢業校友擔任政府要職、大學教授及企業主管者眾多，深受肯定。,,
105,公立,技專校院,22,國立臺灣科技大學,日,二技,100,本校目前二技僅應用外語系對外招生，該系於 1998 年成立，成立宗旨為培養具有流暢英(外)語文能力的專業人才。 教育目標為: 1. 培養英語文教學人才 (G1) 2.培養口筆譯人才 (G2) 3. 培養專業英語文人才 (G3) 教學/課程特色: 本系口語訓練、英文寫作、及中英翻譯等課程均採分組小班教學，並透過自我學習及課外活動強化教學效果。課程規劃除了密集之英文聽、說、讀、寫、譯等溝通能力，西方文學、文化、語言及教學理論等。專業課程則涵蓋英語教學、口筆譯與專業英語三大領域。,,
105,公立,技專校院,22,國立臺灣科技大學,日,碩士班,97.55,一、學校簡介：臺灣科技大學是唯一同時獲得教育部頂尖大學計畫與典範大學計畫的學校，以「發展國際化應用研究型大學」為願景，並以「培育具全球競爭力的科技與管理人才、促進國家社會發展」為目標。自68年起開始招收碩士班研究生，現有碩士班學生約3200名。二、招生系所：計有機械、材料、營建、化學、自動化控制、電子、電機、資工、光電、工管、企管、資管、管理、MBA、財金、建築、設計、數位學習與教育、科技管理、醫學工程、專利、色彩與照明、應用科技等23個碩士班。三、國際化：致力於推動國際認證並積極選送學生出國研修，碩士班國際學位生約400名，英語授課比例達30％，營造國際化學習環境。四、跨校合作：105年起與臺灣大學、臺灣師範大學三校成立國立臺灣大學系統，系統內學生可跨校選課、修讀學分學程、共享圖書館資源。,,
105,公立,技專校院,22,國立臺灣科技大學,日,博士班,79.35,一、學校簡介：臺灣科技大學是唯一同時獲得教育部頂尖大學計畫與典範大學計畫的學校，以「發展國際化應用研究型大學」為願景，並以「培育具全球競爭力的科技與管理人才、促進國家社會發展」為目標。自71年起開始招收博士班研究生，現有博士班學生約1000名。二、招生系所：計有機械、材料、營建、化學、自動化控制、電子、電機、資工、光電、工管、企管、資管、管理、財金、建築、設計、數位學習與教育、應用科技等18個博士班。三、國際化：（一）積極選送優秀學生赴海外研修。（二）積極招生國際學生。（三）英語授課：研究所英語授課比例達30％。四、產學合作：與國內大型企業合作成立研發中心，共同培育產業菁英博士，以專利、技轉及對產業升級有具體成效等實務研發成果為依據，不以學術期刊論文發表為畢業門檻。五、跨校合作：105年起與臺灣大學、臺灣師範大學三校成立國立臺灣大學系統，系統內學生可跨校選課、修讀學分學程、共享圖書館資源。,,
105,公立,技專校院,22,國立臺灣科技大學,職,碩士班,99.33,一、學校簡介：臺灣科技大學是唯一同時獲得教育部頂尖大學計畫與典範大學計畫的學校，以「發展國際化應用研究型大學」為願景，並以「培育具全球競爭力的科技與管理人才、促進國家社會發展」為目標，現有碩士在職專班學生約800名。二、招生系所：計有機械、營建、自動化控制、高階科技研發EMRD、工管EMBA、企管EMBA、資管EMBA、管理研究所EMBA、財金EMBA、建築、設計、應用外語、數位學習與教育、專利等14個碩士在職專班。三、跨校合作：105年起與臺灣大學、臺灣師範大學三校成立國立臺灣大學系統，系統內學生可跨校選課、修讀學分學程、共享圖書館資源。,,
105,公立,技專校院,23,國立雲林科技大學,日,四技,98.62,本校四技日間部20個學系、1個學位學程及1個工程科技菁英班，主要入學方式包含甄選入學、日間部聯合登記分發、技優保送入學、技優甄審入學、四技申請入學聯合招生、科技校院繁星計畫聯合推薦甄選等多元入學管道。此外，本校特於105學年度成立「前瞻學士學位學程」校內適性招生，使技優入學管道具備技能專長、實作能力的優秀學生有更寬廣的升學機會，順利完成學業，讓雲科發光。,,
105,公立,技專校院,23,國立雲林科技大學,日,二技,95,本校二技日間部共設立企業管理系、資訊管理系等2個科系，二技升學管道乃為提升專科畢業生之學力與學歷，強化專業知能、延續涵養職業道德、培育應用性的科技人才，學生除可選擇延續鑽研專科所學專業領域外，亦可轉換專業，拓展學習領域，在學術及實務訓練下具有高度的就業導向，修業二年取得學士學位，並可繼續就讀研究所。,,
105,公立,技專校院,23,國立雲林科技大學,日,碩士班,86.34,本校日間碩士班橫跨工程、管理、設計、人文與科學等專業領域，共計26個系所(含1個學院學程)，並設置高額研究生助學金、證照獎勵及國際交換等助學與獎勵制度，為國舉才，期望培養各領域專業人才進入社會工作。主要入學管道含甄試及入學招生考試2種；為延攬優秀學生進入本校研讀，部分系所於甄試階段更訂有擇優錄取制度。各學院之系所及學位學程如下： 1.工程學院：機械系、電機系、電子系、環安系、化材系、營建系及資工系。 2.管理學院：工管系、企管系(含創業管理碩士學位學程)、資管系、財金系及會計系。 3.設計學院：設計所、工設系、視傳系、建築系、數媒系及創設系。 4.人文與科學學院：應外系、文資系、技職所、漢學所、休閒所、科法所及材料所。,,
105,公立,技專校院,23,國立雲林科技大學,日,博士班,85.15,本校設有12個博士班，入學管道包含博士班甄試及博士班招生，分別於每學年上、下學期辦理招生考試，各學院開設博士班分別如下：本校設有12個博士班，入學管道包含博士班甄試及博士班招生，分別於每學年上、下學期辦理招生考試，各學院開設博士班分別如下：一、工程學院：工程科技研究所、機械工程系、電子工程系、環境與安全衛生工程系及化學工程與材料工程系。二、管理學院：工業工程與管理系、企業管理系、資訊管理系、財務金融系及會計系。三、設計學院：設計學研究所。四、人文與科學學院：技術及職業教育研究所。此外，本校亦提供「逕修讀博士學位」及「產學合作培育研發菁英計畫」，增加本校學生就讀博士班之機會，並使入學本校博士班方式更多元。,,
105,公立,技專校院,23,國立雲林科技大學,職,碩士班,76.39,本校為鼓勵入學大學同等學力且具工作年資者教育回流，於工程、管理、人文與科學等專業領域成立13個碩士在職專班，藉以提升學生的職場競爭能力。招生考試方式主要以為書面審查及面試方式辦理，各學院之系所如下： 1.工程學院：電機系、環安系及營建系。 2.管理學院：工管系、企管系、資管系、財金系及會計系。 3.人文與科學學院：應外系、技職所、漢學所、休閒所及科法所。,,
105,公立,技專校院,24,國立屏東科技大學,日,四技,95.27,配合國內、外相關產業脈動、國家教育目標與政策及本校發展計畫，規劃聯貫性課程，培育學生具有社會道德倫理與專業素養、訓練學生具有相關專業與永續利用等知識與應用技能，使學生具有創業或服務相關產業之能力。,,
105,公立,技專校院,24,國立屏東科技大學,日,碩士班,66.38,配合全球化競爭趨勢與產業發展需求，培育具進階學識與專業技能，並能善用各種方法、工具與資源，解決相關問題之高級管理人才，以培育學生具備專業與領導人才之能力。培育學生具備思考分析與溝通整合之能力。培育學生具備團隊合作與職場倫理。培育學生參與國際交流與社會關懷工作。,,
105,公立,技專校院,24,國立屏東科技大學,日,博士班,77.5,培育研發管理高階人才。養成技術研發與解決問題之獨立思考邏輯。 配合國內、外相關產業脈動、國家教育目標與政策、本校發展計畫及本所特色，培育學生具有社會道德倫理與專業素養、以學術理論傳授為基礎，致力於培育具備實務應用、技術開發及獨立研究能力之高級創新研發人才，研發整合技術，促成國際合作與發展。,,
105,公立,技專校院,24,國立屏東科技大學,修,四技,68.83,1.從專業化發展，使學生擁有助人專業的理論與知識，以提昇學生社會服務輸送之能力。2.從國際化趨勢，使學生具備多元文化與終身學習之能力，以促進國際參與及終身學習，加強自我定位與持續學習，以具有道德倫理、科技法律、人性關懷及奉獻社會的基本認知，培養具有與國際接軌的專業能力。,,
105,公立,技專校院,24,國立屏東科技大學,職,碩士班,67.27,1.加強職場所需業專業知識與技能之訓練。2. 培育具備倫理精神、創新思維與追求卓越之管理人才。3. 結合業界產學合作及推廣服務計畫成果，提昇專業經營與管理能力。4. 鼓勵參與國(校)外研討會及觀摩活動，以增加國際視野及競爭力。,,
105,公立,技專校院,25,國立臺北科技大學,日,四技,99.41,本校以企業家的搖籃與實務研究型大學為特色，培養學生具備八種核心能力：專業實務力、品格實踐力、國際移動力、創新創業力、資訊應用力、團隊合作力、領導溝通力及自主學習力等。105學年度日間部大學部計有19個系，並設立機電、電資、工程科技和創意設計等學士班。透過推動課程E化、跨領域學程與第二專長等課程，鼓勵學生自主學習；安排技術扎根課程與業師教學，培養具實作能力且與產業接軌的專門人才。為開拓學生的國際觀，本校與近200所世界大學結盟，提供超過30個不同國家的交換學習機會，並於2016年帶領學生參加紐約模擬聯合國大會(NMUN)，表現亮眼，榮獲佳績。學校還提供創業資源如點子工廠、自造工坊等，敦促學生將被動的就業觀念轉為主動的創業精神。2016年本校更榮獲QS世界大學排名第551名、QS亞太地區大學排名第112名各項殊榮。,,
