水號,繳費年月,繳費金額,用水度數,同期增減金額,同期增減度數
51-06329700-9,2021-05-01,305,23,-55,-4
51-06329700-9,2021-07-01,346,26,-14,-1
51-06329700-9,2021-09-01,320,24,-40,-3
51-06329700-9,2021-10-01,320,24,15,1
51-18000200-K,2021-11-01,21352,1254,,-260
51-06329700-9,2021-11-01,292,22,,-33
51-03000800-2,2021-11-01,13435,770,,-716
5Y-24001800-5,2021-11-01,134671,8185,,-4200
51-30963840-0,2021-11-01,30537,1816,,-726
51-18000201-5,2021-11-01,285089,17327,,-4945
51-18000100-6,2021-11-01,59218,3570,,-2946
51-18025522-8,2021-11-01,8610,417,,-1529
51-19326740-5,2021-11-01,5944,395,,-66
51-19326735-8,2021-11-01,1873,69,,-223
51-18000200-K,2021-12-01,25992,1538,,
51-06329700-9,2021-12-01,333,25,,
51-03000800-2,2021-12-01,18733,1094,,
5Y-24001800-5,2021-12-01,207526,12641,,
51-30963840-0,2021-12-01,44844,2691,,
51-18000201-5,2021-12-01,293770,17858,,
51-18000100-6,2021-12-01,120054,7291,,
51-18025522-8,2021-12-01,13711,729,,
51-19326740-5,2021-12-01,6271,417,,
51-19326735-8,2021-12-01,3875,204,,
51-18000201-5,2022-01-01,329968,20072,,
51-18025522-8,2022-01-01,11160,573,,
5Y-24001800-5,2022-01-01,152541,9278,,
51-19326740-5,2022-01-01,7057,470,,
51-19326735-8,2022-01-01,2082,83,,
51-18000201-5,2022-02-01,332635,20235,,
5Y-24001800-5,2022-02-01,157234,9565,,
51-03000800-2,2022-02-01,16836,978,,
51-30963840-0,2022-02-01,37650,2251,,
51-19326740-5,2022-02-01,5113,339,,
51-19326735-8,2022-02-01,20822,1345,,
51-06329700-9,2022-02-01,265,20,,
51-18000201-5,2022-03-01,260695,15835,,
51-18025522-8,2022-03-01,8119,387,,
51-18000200-K,2022-03-01,21253,1248,,
51-18000100-6,2022-03-01,56733,3418,,
5Y-24001800-5,2022-03-01,88743,5376,,
51-03000800-2,2022-03-01,9789,547,,
51-30963840-0,2022-03-01,19516,1142,,
51-19326740-5,2022-03-01,3999,264,,
51-18000201-5,2022-04-01,299738,18223,,
51-18025522-8,2022-04-01,4571,170,,
51-18000200-K,2022-04-01,30311,1802,,
51-18000100-6,2022-04-01,116345,7064,,
5Y-24001800-5,2022-04-01,155419,9454,,
51-03000800-2,2022-04-01,15610,903,,
51-19326740-5,2022-04-01,5781,384,,
51-19326735-8,2022-04-01,2037,80,,
51-06329700-9,2022-04-01,305,23,,
51-18000201-5,2022-05-01,276340,16792,,
51-18025522-8,2022-05-01,5307,215,,
51-18000200-K,2022-05-01,32324,1925,,
51-18000100-6,2022-05-01,101777,6173,,
5Y-24001800-5,2022-05-01,130992,7960,,
51-03000800-2,2022-05-01,15217,879,,
51-19326740-5,2022-05-01,4815,319,,
51-19326735-8,2022-05-01,1799,64,,
51-06329700-9,2022-05-01,238,18,,
51-18000201-5,2022-06-01,285611,17359,,
51-18000100-6,2022-06-01,114728,6965,,
5Y-24001800-5,2022-06-01,181350,11040,,
51-03000800-2,2022-06-01,16820,977,,
51-30963840-0,2022-06-01,28755,1707,,
51-19326740-5,2022-06-01,6064,403,,
51-19326735-8,2022-06-01,2259,95,,
51-06329700-9,2022-06-01,15,0,,
51-18000201-5,2022-07-01,325848,19820,,
51-18025522-8,2022-07-01,3917,130,,
51-18000200-K,2022-07-01,21842,1284,,
51-03000800-2,2022-07-01,13779,791,,
51-30963840-0,2022-07-01,25992,1538,,
51-19326740-5,2022-07-01,5097,338,,
51-19326735-8,2022-07-01,1257,26,,
51-06329700-9,2022-07-01,15,0,,
51-18000201-5,2022-08-01,345305,21010,,
51-18025522-8,2022-08-01,3803,123,,
5Y-24001800-5,2022-08-01,73227,4427,,
51-03000800-2,2022-08-01,9201,511,,
51-30963840-0,2022-08-01,13157,753,,
51-18000100-6,2012-10-01,35479,2118,-685,
51-19326735-8,2012-10-01,18229,1063,,
51-18000200-K,2012-10-01,20959,1230,218,
51-06329700-9,2012-11-01,241,18,-6,
51-18025522-8,2012-11-01,7207,331,-244,
51-19326735-8,2012-11-01,33010,1967,,
51-18025522-8,2010-08-01,32565,1882,-260,
51-06329700-9,2010-09-01,254,19,-2,
51-19326740-5,2011-05-01,4446,267,,
51-19326740-5,2011-11-01,7897,478,-103,
51-18025522-8,2012-01-01,8351,401,-417,
51-18000100-6,2013-07-01,95466,5787,-133,
51-18025522-8,2013-07-01,7713,362,92,
51-19326740-5,2013-07-01,8256,500,170,
51-06329700-9,2013-12-01,254,19,-2,
5Y-24001800-5,2013-12-01,240099,14633,1973,
51-18000100-6,2013-12-01,99324,6023,-304,
51-18025522-8,2013-12-01,6602,294,-60,
51-19326740-5,2013-12-01,11003,668,185,
51-19326735-8,2013-12-01,12392,706,-379,
5Y-24001800-5,2013-11-01,206778,12595,1022,
51-18000201-5,2013-11-01,300788,18287,,
51-19326740-5,2013-11-01,8861,537,126,
51-18000200-K,2014-01-01,26780,1586,-33,
5Y-24001800-5,2014-01-01,208904,12725,1833,
51-30963840-0,2014-01-01,48117,2891,566,
51-18025522-8,2014-01-01,6324,277,-95,
51-19326740-5,2014-01-01,9613,583,48,
51-19326735-8,2014-01-01,1912,65,63,
51-18000200-K,2014-02-01,26977,1598,-269,
51-06329700-9,2014-02-01,295,22,-9,
51-30963840-0,2014-02-01,45762,2747,420,
51-18025522-8,2014-02-01,5784,244,-220,
5Y-24001800-5,2013-08-01,112666,6839,-1768,
51-18000201-5,2013-08-01,294950,17930,,
51-18025522-8,2013-08-01,8923,436,81,
51-19326735-8,2013-08-01,19455,1138,325,
5Y-24001800-5,2009-03-01,294821,17980,,
51-18025522-8,2009-04-01,32075,1852,,
5Y-24001800-5,2009-04-01,263822,16084,,
5Y-24001800-5,2009-05-01,302490,18449,,
51-18025522-8,2009-05-01,32369,1870,,
5Y-24001800-5,2009-07-01,329744,20116,,
51-18025522-8,2009-07-01,40038,2339,,
5Y-24001800-5,2009-08-01,227216,13845,,
51-18025522-8,2009-08-01,34021,1971,,
51-18025522-8,2009-09-01,34185,1981,,
51-18025522-8,2009-10-01,33727,1953,,
5Y-24001800-5,2009-11-01,314884,19207,,
51-18025522-8,2009-12-01,34724,2014,,
5Y-24001800-5,2013-09-01,61409,3704,-1744,
51-30963840-0,2013-09-01,18932,1106,-15,
51-06329700-9,2016-12-01,496,36,4,
51-18000100-6,2016-12-01,108317,6573,-383,
51-18025522-8,2017-02-01,9705,484,128,
51-06329700-9,2017-03-01,374,28,3,
5Y-24001800-5,2017-03-01,59886,3611,-5906,
51-30963840-0,2017-03-01,24995,1477,696,
51-18000100-6,2017-03-01,27287,1617,352,
51-19326740-5,2017-03-01,3688,243,20,
51-19326735-8,2017-03-01,1063,10,8,
51-30963840-0,2014-12-01,41476,2485,-286,
51-18000201-5,2014-12-01,306653,18646,878,
51-18025522-8,2014-12-01,14855,799,505,
51-19326735-8,2014-12-01,7458,445,-261,
51-06329700-9,2015-01-01,305,23,-7,
51-30963840-0,2015-01-01,42734,2562,-329,
51-18025522-8,2015-01-01,12829,675,398,
51-19326740-5,2015-01-01,9433,630,47,
51-18000200-K,2015-02-01,18622,1087,-511,
51-18025522-8,2017-08-01,15198,820,234,
51-19326735-8,2017-08-01,7397,441,-104,
51-06329700-9,2017-09-01,346,26,4,
51-30963840-0,2017-09-01,16461,955,-481,
51-18000201-5,2017-09-01,302010,18362,-1179,
51-18025522-8,2017-09-01,14283,764,-54,
51-19326740-5,2017-09-01,8126,542,197,
51-06329700-9,2017-10-01,360,27,-1,
5Y-24001800-5,2017-10-01,123520,7503,-448,
51-30963840-0,2017-10-01,19288,1128,-332,
51-18000201-5,2017-10-01,297155,18065,616,
51-18025522-8,2017-10-01,15067,812,102,
51-19326740-5,2017-10-01,8365,558,281,
51-18000200-K,2017-11-01,25243,1492,303,
51-06329700-9,2017-11-01,305,23,-2,
5Y-24001800-5,2017-11-01,192877,11745,3794,
51-30963840-0,2017-11-01,41279,2473,219,
51-18025522-8,2017-11-01,16883,923,-333,
51-19326740-5,2017-11-01,19577,1313,996,
51-06329700-9,2017-12-01,360,27,-9,
51-30963840-0,2017-12-01,40510,2426,-202,
51-18000100-6,2017-12-01,101826,6176,-397,
51-18025522-8,2017-12-01,23815,1347,507,
51-19326735-8,2017-12-01,3833,201,-15,
51-18000200-K,2018-01-01,25162,1487,462,
51-06329700-9,2018-01-01,333,25,-10,
51-30963840-0,2018-01-01,72115,4359,1571,
51-18000100-6,2018-01-01,98246,5957,16,
51-18025522-8,2018-01-01,21134,1183,497,
5Y-24001800-5,2018-02-01,174646,10630,-2122,
51-18000100-6,2018-02-01,104998,6370,530,
51-30963840-0,2018-03-01,19942,1168,-309,
51-18025522-8,2018-03-01,49779,2935,1881,
51-19326735-8,2018-03-01,1086,12,2,
51-06329700-9,2018-04-01,224,17,-8,
5Y-24001800-5,2018-04-01,146378,8901,-147,
51-18000201-5,2018-04-01,243167,14763,-1752,
51-18025522-8,2018-04-01,31744,1832,751,
51-19326740-5,2018-04-01,6538,435,86,
51-19326735-8,2018-04-01,1172,19,5,
51-18000200-K,2018-05-01,26223,1552,571,
51-06329700-9,2018-05-01,26,1,-27,
5Y-24001800-5,2018-05-01,208769,12717,413,
51-30963840-0,2018-05-01,33546,2000,49,
51-18000100-6,2018-05-01,78136,4727,-660,
51-19326735-8,2018-05-01,23360,1516,91,
5Y-24001800-5,2018-06-01,209455,12759,530,
51-18000100-6,2018-06-01,86245,5223,-487,
51-19326740-5,2018-06-01,6627,441,-102,
51-19326735-8,2018-06-01,4561,250,-74,
5Y-24001800-5,2018-07-01,129177,7849,1944,
51-30963840-0,2018-07-01,25239,1492,131,
51-18000201-5,2018-07-01,241253,14646,-932,
51-06329700-9,2012-09-01,228,17,-7,
51-19326740-5,2018-07-01,5989,398,-63,
51-19326735-8,2018-07-01,6803,401,-40,
51-18000200-K,2018-08-01,31291,1862,439,
5Y-24001800-5,2018-08-01,94858,5750,-2950,
51-18000201-5,2018-08-01,267642,16260,-2102,
51-18025522-8,2018-08-01,8822,430,-334,
51-19326740-5,2018-08-01,5736,381,-161,
51-18000200-K,2018-09-01,29951,1780,619,
51-30963840-0,2018-09-01,17425,1014,-114,
51-18000201-5,2018-09-01,248121,15066,-2999,
51-18025522-8,2018-09-01,9607,478,-334,
51-19326740-5,2018-09-01,4236,280,-278,
51-18000200-K,2018-10-01,35674,2130,638,
5Y-24001800-5,2018-10-01,215963,13157,1412,
51-18000201-5,2018-10-01,307783,18715,-2286,
51-18025522-8,2018-10-01,16295,887,-36,
51-19326740-5,2018-10-01,5187,344,-969,
51-19326735-8,2018-10-01,4190,225,-7,
51-06329700-9,2018-11-01,401,30,3,
5Y-24001800-5,2018-11-01,233817,14249,1719,
51-30963840-0,2018-11-01,45285,2718,292,
51-18000201-5,2018-11-01,36719,22349,-697,
51-18025522-8,2018-11-01,10964,561,-786,
51-19326740-5,2018-11-01,5424,360,-282,
51-30963840-0,2019-01-01,35083,2094,-2265,
51-18000201-5,2019-01-01,296370,18017,-1067,
51-18000100-6,2019-01-01,87814,5319,-638,
51-18000200-K,2019-02-01,23739,1400,12,
51-30963840-0,2019-02-01,37174,2222,-363,
51-18000201-5,2019-02-01,279480,16984,-1719,
51-18000100-6,2019-02-01,96266,5836,-534,
51-18000100-6,2019-03-01,39173,2344,650,
51-19326740-5,2019-03-01,4710,312,-74,
51-19326735-8,2019-03-01,1873,69,57,
5Y-24001800-5,2019-04-01,169087,10290,1389,
51-18000201-5,2019-04-01,284793,17309,2546,
51-18000100-6,2019-04-01,85019,5148,576,
51-19326740-5,2019-04-01,4876,323,-112,
51-18000200-K,2019-05-01,19880,1164,-388,
51-06329700-9,2019-05-01,333,25,24,
5Y-24001800-5,2019-05-01,185339,11284,-1433,
51-18000201-5,2019-05-01,246746,14982,-622,
51-18025522-8,2019-05-01,40819,2387,2021,
51-19326740-5,2019-05-01,4073,269,-179,
51-19326735-8,2019-05-01,1505,44,-1472,
51-30963840-0,2019-06-01,36259,2166,-114,
51-18025522-8,2019-06-01,11340,584,6,
51-19326735-8,2019-06-01,2437,107,-306,
51-06329700-9,2019-07-01,183,14,13,
51-30963840-0,2019-07-01,40837,2446,157,
51-18025522-8,2019-07-01,10016,503,-18,
51-06329700-9,2019-08-01,251,19,-8,
51-30963840-0,2019-08-01,18684,1091,-401,
51-18000100-6,2019-08-01,37326,2231,-447,
51-18000200-K,2019-09-01,15563,900,-962,
51-06329700-9,2019-09-01,360,27,-4,
5Y-24001800-5,2019-09-01,103639,6287,537,
51-18000100-6,2019-09-01,19945,1168,277,
51-18025522-8,2019-09-01,18420,1017,587,
51-18025522-8,2012-09-01,7370,341,-597,
51-18000201-5,2020-01-01,241123,14638,-55247,-3379
51-18000201-5,2020-05-01,299983,18238,53237,3256
51-18000201-5,2020-08-01,362276,22048,75814,4637
51-18000201-5,2020-09-01,361687,22012,73361,4487
51-18000201-5,2020-10-01,374048,22768,107370,6567
51-18000201-5,2020-12-01,374719,22809,76453,4676
51-18000201-5,2021-01-01,325637,19807,84514,5169
51-18000201-5,2021-03-01,353807,21530,65105,3982
51-18025522-8,2020-09-01,8676,421,-9744,-596
51-18025522-8,2020-11-01,33609,1946,24508,1499
51-18025522-8,2021-02-01,4686,177,-949,-58
51-18025522-8,2021-03-01,6289,275,-554,-34
51-18025522-8,2021-04-01,10489,532,1340,82
51-18025522-8,2021-06-01,7564,353,900,55
51-18025522-8,2021-07-01,7611,356,-672,-41
51-18025522-8,2021-08-01,9312,460,48,3
51-18025522-8,2021-09-01,6910,313,-1766,-108
51-18025522-8,2021-10-01,7743,364,-26504,-1621
51-18000200-K,2020-03-01,14795,853,-2240,-137
51-18000200-K,2020-04-01,21760,1279,1619,99
51-18000200-K,2020-05-01,24017,1417,4137,253
51-18000200-K,2020-06-01,23363,1377,-244,-15
51-18000200-K,2020-07-01,23265,1371,476,29
51-18000200-K,2020-09-01,18131,1057,2568,157
51-18000200-K,2020-10-01,21123,1240,2683,164
51-18000200-K,2021-04-01,23869,1408,2109,129
51-18000200-K,2021-06-01,25373,1500,2010,123
51-18000200-K,2021-07-01,22121,1301,-1144,-70
51-18000200-K,2021-08-01,21417,1258,2942,180
51-18000200-K,2021-09-01,20093,1177,1962,120
51-18000100-6,2020-01-01,86491,5238,-1323,-81
51-18000100-6,2020-03-01,16725,971,-22448,-1373
51-18000100-6,2020-05-01,85247,5162,10251,627
51-18000100-6,2020-06-01,100682,6106,6671,408
51-18000100-6,2020-07-01,106454,6459,12918,790
51-18000100-6,2020-08-01,44732,2684,7406,453
51-18000100-6,2020-09-01,25047,1480,5102,312
51-18000100-6,2020-11-01,107384,6516,11673,714
51-18000100-6,2021-01-01,107451,6520,20960,1282
51-18000100-6,2021-06-01,98817,5992,-1865,-114
51-18000100-6,2021-08-01,41250,2471,-3482,-213
51-18000100-6,2021-09-01,24785,1464,-262,-16
5Y-24001800-5,2020-01-01,157838,9602,-28727,-1757
5Y-24001800-5,2020-02-01,157299,9569,-33387,-2042
5Y-24001800-5,2020-06-01,194430,11840,-46367,-2836
5Y-24001800-5,2020-08-01,126365,7677,25638,1568
5Y-24001800-5,2020-10-01,158689,9654,7228,442
5Y-24001800-5,2020-12-01,229941,14012,-12018,-735
5Y-24001800-5,2021-01-01,162074,9861,4236,259
5Y-24001800-5,2021-03-01,85145,5156,-37312,-2282
51-03000800-2,2020-11-01,25141,1486,2076,127
51-03000800-2,2021-01-01,21005,1233,-31490,-1926
51-03000800-2,2021-02-01,22608,1331,9189,562
51-03000800-2,2021-03-01,13958,802,2370,145
51-03000800-2,2021-04-01,20760,1218,7325,448
51-03000800-2,2021-05-01,31813,1894,13816,845
51-03000800-2,2021-06-01,27398,1624,7374,451
51-03000800-2,2021-10-01,12976,742,-12623,-772
51-30963840-0,2020-01-01,35623,2127,540,33
51-30963840-0,2020-07-01,38075,2277,-2762,-169
51-30963840-0,2020-08-01,23015,1356,4331,265
51-30963840-0,2020-09-01,15839,917,3254,199
51-30963840-0,2020-11-01,42406,2542,-18,-1
51-30963840-0,2021-01-01,39365,2356,3742,229
51-30963840-0,2021-04-01,44925,2696,16692,1021
51-30963840-0,2021-05-01,47165,2833,15549,951
51-30963840-0,2021-08-01,15021,867,-7994,-489
51-30963840-0,2021-09-01,10656,600,-5183,-317
51-30963840-0,2021-10-01,16672,968,-8894,-544
51-19326740-5,2020-02-01,4519,299,-326,-22
51-19326740-5,2020-03-01,3984,263,-726,-49
51-19326740-5,2020-04-01,5275,350,399,27
51-19326740-5,2020-06-01,6181,411,890,60
51-19326740-5,2020-09-01,4993,331,906,61
51-19326740-5,2020-10-01,6106,406,1736,117
51-19326740-5,2020-11-01,6924,461,1886,127
51-19326740-5,2020-12-01,7888,526,2584,174
51-19326740-5,2021-02-01,5216,346,697,47
51-18025522-8,2016-03-01,6435,284,-368,
51-19326740-5,2016-03-01,3390,223,-228,
51-19326735-8,2016-03-01,984,2,-373,
51-18000200-K,2016-04-01,16856,979,242,
51-06329700-9,2016-04-01,251,19,-11,
5Y-24001800-5,2016-04-01,251344,15321,4979,
51-30963840-0,2016-04-01,32892,1960,-175,
51-18000201-5,2016-04-01,218429,13250,-7209,
51-18000100-6,2016-04-01,87750,5315,79,
51-18025522-8,2016-04-01,32366,1870,648,
51-19326740-5,2016-04-01,4770,316,-237,
51-19326735-8,2016-04-01,1376,35,4,
51-18000200-K,2016-05-01,17510,1019,242,
51-06329700-9,2016-05-01,401,30,7,
51-19326740-5,2012-08-01,5149,310,32,
5Y-24001800-5,2016-05-01,248303,15135,4384,
51-30963840-0,2016-05-01,37650,2251,-92,
51-18000201-5,2016-05-01,232376,14103,-6000,
51-18000100-6,2016-05-01,98360,5964,371,
51-18025522-8,2016-05-01,8185,391,-986,
51-19326740-5,2016-05-01,4964,329,-181,
51-19326735-8,2016-05-01,22426,1453,1425,
51-18000200-K,2016-06-01,15449,893,195,
51-06329700-9,2016-06-01,278,21,2,
5Y-24001800-5,2016-06-01,257394,15691,4898,
51-30963840-0,2016-06-01,45547,2734,261,
51-18000201-5,2016-06-01,283109,17206,-2086,
51-18000100-6,2016-06-01,103134,6256,687,
51-18025522-8,2016-06-01,16720,913,-435,
51-19326740-5,2016-06-01,5869,390,-229,
51-19326735-8,2016-06-01,5407,307,301,
51-18000200-K,2016-07-01,14941,862,135,
51-06329700-9,2016-07-01,305,23,4,
5Y-24001800-5,2016-07-01,231136,14085,3098,
51-30963840-0,2016-07-01,42392,2541,-46,
51-18000201-5,2016-07-01,327925,19947,225,
51-18000100-6,2016-07-01,105554,6404,681,
51-18025522-8,2016-07-01,16524,901,-418,
51-19326740-5,2016-07-01,6064,403,-435,
51-19326735-8,2016-07-01,8273,500,-997,
51-18000200-K,2016-08-01,13667,784,85,
51-06329700-9,2016-08-01,387,29,5,
5Y-24001800-5,2016-08-01,130271,7916,699,
51-30963840-0,2016-08-01,23669,1396,-935,
51-18000201-5,2016-08-01,302861,18414,-2770,
51-18000100-6,2016-08-01,38192,2284,-959,
51-18025522-8,2016-08-01,11373,586,-283,
51-19326740-5,2016-08-01,4147,274,-873,
51-19326735-8,2016-08-01,8942,545,93,
51-18000200-K,2016-09-01,17754,1034,-188,
51-06329700-9,2016-09-01,292,22,1,
5Y-24001800-5,2016-09-01,102574,6222,1899,
51-30963840-0,2016-09-01,24323,1436,-63,
51-18000201-5,2016-09-01,321288,19541,-2581,
51-18025522-8,2012-08-01,7599,355,-372,
51-18000100-6,2016-09-01,18833,1100,185,
51-18025522-8,2016-09-01,15166,818,342,
51-19326740-5,2016-09-01,5201,345,-283,
51-19326735-8,2016-09-01,12402,778,-72,
51-18000200-K,2016-10-01,18475,1078,296,
51-06329700-9,2016-10-01,374,28,10,
5Y-24001800-5,2016-10-01,130845,7951,476,
51-30963840-0,2016-10-01,24716,1460,462,
51-18000201-5,2016-10-01,287083,17449,-1507,
51-18000100-6,2016-10-01,44389,2663,587,
51-18025522-8,2016-10-01,13400,710,342,
51-19326740-5,2016-10-01,4191,277,-378,
51-19326735-8,2016-10-01,4086,218,-172,
51-18000200-K,2016-11-01,20288,1189,94,
51-06329700-9,2016-11-01,333,25,-3,
5Y-24001800-5,2016-11-01,130845,7951,-4309,
51-30963840-0,2016-11-01,37699,2254,-1,
51-18000201-5,2016-11-01,293949,17869,-2476,
51-18000100-6,2016-11-01,94697,5740,-107,
51-18025522-8,2016-11-01,22327,1256,697,
51-19326740-5,2016-11-01,4785,317,-1160,
51-18000100-6,2014-04-01,92687,5617,181,
51-18025522-8,2014-04-01,12763,671,102,
51-19326740-5,2014-04-01,7387,447,-46,
51-19326735-8,2014-04-01,1200,19,-1425,
51-18000200-K,2014-05-01,16349,948,-971,
51-06329700-9,2014-05-01,251,19,-4,
5Y-24001800-5,2014-05-01,200284,12198,2226,
51-30963840-0,2014-05-01,43404,2603,320,
51-18000201-5,2014-05-01,235924,14320,-3028,
51-18000100-6,2014-05-01,96365,5842,696,
51-18025522-8,2014-05-01,13858,738,-50,
51-19326740-5,2014-05-01,7419,449,-316,
51-19326735-8,2014-05-01,25162,1487,1210,
51-18000200-K,2014-06-01,16169,937,-629,
51-06329700-9,2014-06-01,238,18,-1,
5Y-24001800-5,2014-06-01,212675,12956,1254,
51-30963840-0,2014-06-01,46789,2810,498,
51-18000201-5,2014-06-01,273939,16645,-340,
51-18000100-6,2014-06-01,101336,6146,1137,
51-18025522-8,2014-06-01,16016,870,479,
51-19326740-5,2014-06-01,9384,566,119,
51-19326735-8,2014-06-01,7111,383,-110,
51-18000200-K,2014-07-01,14812,854,-820,
51-06329700-9,2014-07-01,251,19,-3,
5Y-24001800-5,2014-07-01,202800,12352,-1866,
51-30963840-0,2014-07-01,39873,2387,-386,
51-18000201-5,2014-07-01,249641,15159,-4965,
51-18000201-5,2012-08-01,651429,39733,,
51-18000200-K,2017-01-01,17608,1025,235,
51-06329700-9,2017-01-01,480,35,15,
5Y-24001800-5,2017-01-01,235714,14365,3249,
51-30963840-0,2017-01-01,46430,2788,521,
51-18000201-5,2017-01-01,250344,15202,-2666,
51-18000100-6,2017-01-01,97985,5941,-39,
51-18025522-8,2017-01-01,13007,686,258,
51-19326740-5,2017-01-01,4905,325,-776,
51-19326735-8,2017-01-01,1086,12,-17,
51-18000200-K,2017-02-01,16610,964,108,
51-06329700-9,2017-02-01,417,31,11,
5Y-24001800-5,2017-02-01,209340,12752,2373,
51-30963840-0,2017-02-01,38679,2314,250,
51-18000201-5,2017-02-01,242808,14741,-3298,
51-18000100-6,2017-02-01,96333,5840,202,
51-06329700-9,2015-02-01,251,19,-3,
5Y-24001800-5,2015-02-01,194952,11872,2005,
51-30963840-0,2015-02-01,38172,2283,-464,
51-18000201-5,2015-02-01,313276,19051,3693,
51-18000100-6,2015-02-01,116426,7069,720,
51-18025522-8,2015-02-01,9623,479,235,
51-19326740-5,2015-02-01,7043,469,-43,
51-19326735-8,2015-02-01,1148,17,-11,
51-18000200-K,2015-03-01,15744,911,-454,
51-06329700-9,2015-03-01,210,16,-8,
5Y-24001800-5,2015-03-01,115786,7030,328,
51-30963840-0,2015-03-01,27872,1653,-67,
51-06329700-9,2019-01-01,333,25,0,
5Y-24001800-5,2019-01-01,186565,11359,1024,
51-18025522-8,2019-01-01,5111,203,-980,
51-19326740-5,2019-01-01,4489,297,-155,
51-19326735-8,2019-01-01,3492,178,145,
51-06329700-9,2019-02-01,292,22,0,
5Y-24001800-5,2019-02-01,190686,11611,981,
51-18025522-8,2019-02-01,42030,2461,1118,
51-19326740-5,2019-02-01,4845,321,-110,
51-19326735-8,2019-02-01,1903,71,7,
51-18000200-K,2019-03-01,17035,990,-247,
51-06329700-9,2019-03-01,448,33,4,
5Y-24001800-5,2019-03-01,116784,7091,1250,
51-30963840-0,2019-03-01,20548,1205,37,
51-18000201-5,2019-03-01,268052,16285,-6958,
51-18025522-8,2019-03-01,12239,639,-2296,
51-18000200-K,2019-04-01,20141,1180,-84,
51-06329700-9,2019-04-01,305,23,6,
51-30963840-0,2019-04-01,32647,1945,135,
51-18025522-8,2019-04-01,19547,1086,-746,
51-19326735-8,2019-04-01,21253,1374,1355,
51-18000201-5,2012-09-01,628049,38303,,
51-30963840-0,2019-05-01,31503,1875,-125,
51-18000100-6,2019-05-01,74996,4535,-192,
51-18000200-K,2019-06-01,23607,1392,-482,
51-06329700-9,2019-06-01,305,23,22,
5Y-24001800-5,2019-06-01,240797,14676,1917,
51-18000201-5,2019-06-01,295045,17936,2016,
51-18000100-6,2019-06-01,94011,5698,172,
51-19326740-5,2019-06-01,5291,351,-60,
51-18000200-K,2019-07-01,22789,1342,-956,
5Y-24001800-5,2019-07-01,246325,15014,2255,
51-18000201-5,2019-07-01,301143,18309,-421,
51-18000100-6,2019-07-01,93536,5669,446,
51-19326740-5,2019-07-01,5558,369,-72,
51-19326735-8,2019-07-01,2528,113,-137,
51-18000200-K,2019-08-01,18311,1068,-668,
5Y-24001800-5,2019-08-01,100727,6109,-1740,
51-18000201-5,2019-08-01,286462,17411,2765,
51-18025522-8,2019-08-01,7056,322,-47,
51-19326740-5,2019-08-01,4859,322,-76,
51-19326735-8,2019-08-01,9045,552,151,
51-30963840-0,2019-09-01,12585,718,-74,
51-18000201-5,2019-09-01,288326,17525,1265,
51-19326740-5,2019-09-01,4087,270,-111,
51-18000201-5,2021-04-01,303612,18460,35479,2170
51-18000201-5,2021-07-01,254169,15436,-119961,-7337
51-18000201-5,2021-10-01,303923,18479,-70125,-4289
51-18025522-8,2020-01-01,5454,224,343,21
51-18025522-8,2020-02-01,5635,235,-36395,-2226
51-18025522-8,2020-03-01,6843,309,-5396,-330
5Y-24001800-5,2021-06-01,156253,9505,-38177,-2335
5Y-24001800-5,2021-10-01,84787,5134,-73902,-4520
51-03000800-2,2020-01-01,52495,3159,29266,1790
51-03000800-2,2020-03-01,11588,657,-15973,-977
51-03000800-2,2020-04-01,13435,770,-3580,-219
51-03000800-2,2020-05-01,17997,1049,1554,95
51-19326740-5,2021-03-01,4532,300,548,37
51-19326740-5,2021-07-01,3879,256,-2748,-185
51-19326740-5,2021-09-01,5246,348,253,17
51-19326735-8,2020-03-01,1859,68,-14,-1
51-19326735-8,2020-04-01,2898,138,-18355,-1236
51-19326735-8,2020-05-01,2660,122,1155,78
51-19326735-8,2020-07-01,36132,2376,33604,2263
51-19326735-8,2020-09-01,9907,610,-1871,-126
51-19326735-8,2020-10-01,4279,231,-594,-40
51-19326735-8,2020-11-01,5185,292,-1501,-101
51-19326735-8,2021-01-01,1268,27,-977,-67
51-19326735-8,2021-05-01,1404,37,-1256,-85
51-19326735-8,2021-06-01,1992,77,748,52
51-19326735-8,2021-09-01,1577,49,-8330,-561
51-06329700-9,2020-01-01,305,23,-28,-2
51-06329700-9,2020-03-01,374,28,-74,-5
51-06329700-9,2020-05-01,360,27,27,2
51-06329700-9,2020-07-01,360,27,177,13
51-06329700-9,2020-08-01,305,23,54,4
51-06329700-9,2020-12-01,448,33,74,5
51-06329700-9,2021-01-01,278,21,-27,-2
51-06329700-9,2021-02-01,292,22,82,6
51-06329700-9,2021-06-01,278,21,-42,-3
51-06329700-9,2021-08-01,333,25,28,2
51-18025522-8,2022-06-01,4784,183,,
51-18000100-6,2022-07-01,80931,4898,,
51-18000200-K,2022-08-01,20959,1230,,
51-19326740-5,2022-08-01,6241,415,,
51-19326735-8,2022-08-01,1032,7,,
51-06329700-9,2022-08-01,72,5,,
51-06329700-9,2012-10-01,350,26,2,
5Y-24001800-5,2012-10-01,120628,7326,-1184,
51-18000100-6,2012-11-01,93013,5637,-390,
51-18000201-5,2012-11-01,588596,35890,,
51-19326740-5,2012-11-01,6801,411,-67,
51-18000201-5,2010-08-01,488893,29792,-2971,
