學校代碼,學校名稱,99學年度畢業生102薪資年博士未滿35歲,99學年度畢業生102薪資年博士35歲以上,99學年度畢業生102薪資年碩士日間學制,99學年度畢業生102薪資年碩士在職專班,99學年度畢業生102薪資年學士日間學制,99學年度畢業生102薪資年學士進修學制,99學年度畢業生102薪資年專科日間學制,99學年度畢業生102薪資年專科進修學制,99學年度畢業生103薪資年博士未滿35歲,99學年度畢業生103薪資年博士35歲以上,99學年度畢業生103薪資年碩士日間學制,99學年度畢業生103薪資年碩士在職專班,99學年度畢業生103薪資年學士日間學制,99學年度畢業生103薪資年學士進修學制,99學年度畢業生103薪資年專科日間學制,99學年度畢業生103薪資年專科進修學制,100學年度畢業生103薪資年博士未滿35歲,100學年度畢業生103薪資年博士35歲以上,100學年度畢業生103薪資年碩士日間學制,100學年度畢業生103薪資年碩士在職專班,100學年度畢業生103薪資年學士日間學制,100學年度畢業生103薪資年學士進修學制,100學年度畢業生103薪資年專科日間學制,100學年度畢業生103薪資年專科進修學制
1192,臺灣觀光學院,,,,,88.08%,88.89%,76.47%,,,,,,90.49%,100.00%,72.88%,,,,,,87.15%,89.19%,75.00%,
1194,台北海洋技術學院,,,,,83.90%,88.56%,79.17%,82.98%,,,,,86.71%,90.25%,72.00%,85.11%,,,,,85.53%,90.53%,68.75%,80.00%
1281,康寧醫護暨管理專科學校,,,,,,,73.87%,91.46%,,,,,,,83.19%,93.41%,,,,,,,75.44%,92.15%
1282,馬偕醫護管理專科學校,,,,,,,84.49%,93.63%,,,,,,,88.21%,92.20%,,,,,,,89.35%,91.14%
1283,仁德醫護管理專科學校,,,,,,,80.71%,89.47%,,,,,,,85.94%,88.16%,,,,,,,82.31%,94.97%
1284,樹人醫護管理專科學校,,,,,,,80.68%,89.69%,,,,,,,81.82%,87.11%,,,,,,,78.57%,91.88%
1285,慈惠醫護管理專科學校,,,,,,,76.71%,85.33%,,,,,,,83.44%,86.67%,,,,,,,79.09%,90.30%
1286,耕莘健康管理專科學校,,,,,,,88.33%,87.93%,,,,,,,92.08%,88.79%,,,,,,,89.41%,94.12%
1287,敏惠醫護管理專科學校,,,,,,,85.21%,76.47%,,,,,,,93.53%,70.59%,,,,,,,84.74%,
1288,高美醫護管理專科學校,,,,,,,85.00%,72.73%,,,,,,,86.36%,72.73%,,,,,,,,77.50%
1289,育英醫護管理專科學校,,,,,,,78.41%,,,,,,,,85.23%,,,,,,,,79.49%,
1290,崇仁醫護管理專科學校,,,,,,,84.33%,100.00%,,,,,,,90.37%,100.00%,,,,,,,90.59%,90.48%
1291,聖母醫護管理專科學校,,,,,,,87.91%,97.78%,,,,,,,84.62%,97.78%,,,,,,,86.29%,87.50%
1292,新生醫護管理專科學校,,,,,,,87.71%,,,,,,,,89.17%,,,,,,,,89.82%,
3002,臺北市立大學,,88.89%,93.56%,99.63%,83.61%,,,,,88.89%,94.87%,99.63%,87.69%,,,,,100.00%,94.14%,98.13%,80.49%,,,
